Name,Transliteration,Meaning
عادل,Aadil,The Justice
عالم,Aalim,The Scholar
عبدالله,Abdullah,Slave of Allah
ابوالقاسم,Abu al Qaasim,The father of Qasim.
ابو الطاھر,Abu at Tahir,The father of Tahir.
ابوالطیب,Abu at Tayyib,The father of Tayyib.
ابو ابراھیم,Abu Ibrahim,The father of Ibrahim.
عفو,Afoow,Forgiver.
احید,Aheed,He who takes to one side.
احمد,Ahmad,Much praised
اجیر,Ajeer,He who is rewarded.
علم الایمان,Alam ul Eeman,The banner of faith.
علم الیقین,Alam ul Yaqeen,The banner of belief.
علم الھدیٰ,Alamul Hudaa,Banner of guidance.
علیم,Aleem,The Knowledgeable
امین,Ameen,The Honest One
النجم الثاقب,An Najm-us-Saqib,Shining star.
عاقب,Aqib,The Latest
عربی,Arabi,The Arabi
اول,Awwal,The First
عین الغر,Ayn ul Ghurr,The chief of the chosen one.
عین النعیم,Ayn un Naeem,The spring of blessing.
عزیز,Aziz,The Honoured One
بالغ,Baaligh,He who attains the elevated station.
بار,Bar,Pious
بشیر,Basheer,The Messenger of Good News
بیان,Bayan,Obvious words
برھان,Burhan,The Evidence
بشریٰ,Bushraa,Giver of good tidings.
داع,Daa,The Invitor
دلیل الخیرات,Daleel ul Khyayraat,To guide to virtue.
فاتح,Faateh,The Victor
فاضل,Faazil,Virtuous.
فصیح اللسان,Faseehul Lisaan,The eloquent of speech.
فتاح,Fatah,"The Successor, The Opener"
غنی,Ghani,The Rich
غریب,Gharib,The Poor
غوث,Ghaus,"Succour, listener to complaints."
غیث,Ghays,Shower of mercy.
غیاث,Ghiyaas,Full of succour.
ھاد,Haad,The Leader
حبیب الله,Habeebullah,Beloved of Allah.
حبیب,Habieb,The Beloved
حفی,Hafeey,Very merciful.
حافظ,Hafiz,The Guardian
حکیم,Hakeem,The Wise
حامد,Hamid,The Praiser
حمید,Hamied,The Thankful
حق,Haq,"The True, The Truth"
حریص علیکم,Harees-un-Alaikum,The Covetous for the Believers
ھاشم,Hashim,"The Destroyer, The Crusher of Evil"
حاشر,Hashir,"The Awakener, The Gatherer"
ھاشمے,Hashmi,The Hashmi
ھدیه الله,Hidayatullah,Gift of Allah.
حجازی,Hijazi,The Hijazi
حزب الله,Hizbullah,Army of Allah.
ھدی,Hudaa,Guide.
حجه,Hujjat,The Right Argument
اکلیل,Ikleel,Chief (of Prophets)
امام,Imam,The Guide
امام المتقین,Imamul Muttaqeen,Leader of the pious.
عزالعرب,Izzul Arab,The honour of Arabs.
جامع,Jaami,Perfect.
جبار,Jabbar,Dominant.
جواد,Jawwad,The Generous
کاف,Kaaf,"Sufficient, enough."
کامل,Kaamil,Perfect.
کاشف الکرب,Kaashiful Kurab,He who solves difficulties.
کفیل,Kafeel,Surety.
کلیم الله,Kaleemullah,Who converses with Allah.
کریم,Kareem,The Noble
خلیل الرحمٰن,Khaleel ur Rahman,The freind of Compassionate.
خلیل,Khalil,The True Friend
خاتم الانبیآء,Khatamul anbiya,Seal of the Prophets.
خاتم الرسل,Khatamur Rusul,Seal of Messengers.
خطیب الامم,Khateebul Umam,Sermoniser for the people.
خطیب,Khatieb,The Sermoniser
خاتم,Khatim,The Finalizer
ماح,Maah,The obliterator of Infidelity
مدنی,Madani,The Resident of Madina
مدعو,Madoow,Who is called.
مھد,Mahd,The Guided One
مھدی,Mahdee,Who is guided.
مھدی,Mahdiy,He Who is Well Guided
محمود,Mahmood,The Commendable
مکین,Makeen,Who is given Rank
مکین,Makeen,Who is given rank.
مخصوص بالعز,Makhsoos bil Izz,Chosen to be honoured.
مخصوص بالمجد,Makhsoos bil Majd,Chosen to be on the right path.
مخصوص بالشرف,Makhsoos bil Sharaf,Picked up as a noble.
معلوم,Maloom,Known.
مامون,Mamoon,Secure.
منصور,Mansoor,Who is helped
معراج,Maraj,"The Place of Ascent, The Above"
مشھود,Mashhood,He who is witnessed.
مشکور,Mashkoor,The Thankful
متین,Mateen,The Strong
موصول,Mawsool,Having link with Allah.
مفتاح,Miftaah,Key to the secrets.
