Country,latitude,longitutde,qibla_dir
Afghanistan,33.7680065,66.2385139,58.50816668110658
Albania,41.000028,19.9999619,58.50816668110658
Algeria,28.0000272,2.9999825,58.50816668110658
Andorra,42.5407167,1.5732033,58.50816668110658
Angola,-11.8775768,17.5691241,58.50816668110658
Antigua and Barbuda,17.2234721,-61.9554608,58.50816668110658
Argentina,-34.9964963,-64.9672817,58.50816668110658
Armenia,40.7696272,44.6736646,58.50816668110658
Austria,47.59397,14.12456,58.50816668110658
Azerbaijan,40.3936294,47.7872508,58.50816668110658
Bahrain,26.1551249,50.5344606,58.50816668110658
Bangladesh,24.4769288,90.2934413,58.50816668110658
Barbados,13.1500331,-59.5250305,58.50816668110658
Belarus,53.4250605,27.6971358,58.50816668110658
Belgium,50.6402809,4.6667145,58.50816668110658
Belize,16.8259793,-88.7600927,58.50816668110658
Benin,9.5293472,2.2584408,58.50816668110658
Bhutan,27.549511,90.5119273,58.50816668110658
Bolivia,-17.0568696,-64.9912286,58.50816668110658
Bosnia and Herzegovina,44.3053476,17.5961467,58.50816668110658
Botswana,-23.1681782,24.5928742,58.50816668110658
Brazil,-10.3333333,-53.2,58.50816668110658
Brunei,4.4137155,114.5653908,58.50816668110658
Bulgaria,42.6073975,25.4856617,58.50816668110658
Burkina Faso,12.0753083,-1.6880314,58.50816668110658
Burundi,-3.426449,29.9324519,58.50816668110658
Cabo Verde,16.0000552,-24.0083947,58.50816668110658
Cambodia,12.5433216,104.8144914,58.50816668110658
Cameroon,4.6125522,13.1535811,58.50816668110658
Canada,61.0666922,-107.991707,58.50816668110658
Central African Republic,7.0323598,19.9981227,58.50816668110658
Chad,15.6134137,19.0156172,58.50816668110658
Channel Islands,49.21230655,-2.1255999596428845,58.50816668110658
Chile,-31.7613365,-71.3187697,58.50816668110658
China,35.000074,104.999927,58.50816668110658
Colombia,4.099917,-72.9088133,58.50816668110658
Comoros,-12.2045176,44.2832964,58.50816668110658
Congo,-2.9814344,23.8222636,58.50816668110658
Costa Rica,9.536456900000001,-84.17566257468567,58.50816668110658
Côte d'Ivoire,7.9897371,-5.5679458,58.50816668110658
Croatia,45.3658443,15.6575209,58.50816668110658
Cuba,23.0131338,-80.8328748,58.50816668110658
Cyprus,34.9823018,33.1451285,58.50816668110658
Czech Republic,49.7439047,15.3381061,58.50816668110658
Denmark,55.670249,10.3333283,58.50816668110658
Djibouti,11.8145966,42.8453061,58.50816668110658
Dominica,19.0974031,-70.3028026,58.50816668110658
Dominican Republic,19.0974031,-70.3028026,58.50816668110658
DR Congo,-2.9814344,23.8222636,58.50816668110658
Ecuador,-1.3397668,-79.3666965,58.50816668110658
Egypt,26.2540493,29.2675469,58.50816668110658
El Salvador,13.8000382,-88.9140683,58.50816668110658
Equatorial Guinea,1.613172,10.5170357,58.50816668110658
Eritrea,15.9500319,37.9999668,58.50816668110658
Estonia,58.7523778,25.3319078,58.50816668110658
Eswatini,-26.5624806,31.3991317,58.50816668110658
Ethiopia,10.2116702,38.6521203,58.50816668110658
Faeroe Islands,62.0448724,-7.0322972,58.50816668110658
Finland,63.2467777,25.9209164,58.50816668110658
France,46.603354,1.8883335,58.50816668110658
French Guiana,3.94396215,-53.037301540206464,58.50816668110658
Gabon,-0.8999695,11.6899699,58.50816668110658
Gambia,13.470062,-15.4900464,58.50816668110658
Georgia,41.6809707,44.0287382,58.50816668110658
Germany,51.1638175,10.4478313,58.50816668110658
Ghana,8.0300284,-1.0800271,58.50816668110658
Gibraltar,36.1285933,-5.3474761,58.50816668110658
Greece,38.9953683,21.9877132,58.50816668110658
Grenada,12.1360374,-61.6904045,58.50816668110658
Guatemala,15.5855545,-90.345759,58.50816668110658
Guinea,10.7226226,-10.7083587,58.50816668110658
Guinea-Bissau,11.815215,-15.2351044,58.50816668110658
Guyana,4.8417097,-58.6416891,58.50816668110658
Haiti,19.1399952,-72.3570972,58.50816668110658
Holy See,38.9247244,-77.06572732690151,58.50816668110658
Honduras,15.2572432,-86.0755145,58.50816668110658
Hong Kong,22.350627,114.1849161,58.50816668110658
Hungary,47.1817585,19.5060937,58.50816668110658
Iceland,64.9841821,-18.1059013,58.50816668110658
India,22.3511148,78.6677428,58.50816668110658
Indonesia,-2.4833826,117.8902853,58.50816668110658
Iran,32.6475314,54.5643516,58.50816668110658
Iraq,33.0955793,44.1749775,58.50816668110658
Ireland,52.865196,-7.9794599,58.50816668110658
Isle of Man,54.1936805,-4.5591148,58.50816668110658
Israel,30.8124247,34.8594762,58.50816668110658
Italy,42.6384261,12.674297,58.50816668110658
Jamaica,18.1850507,-77.3947693,58.50816668110658
Japan,36.5748441,139.2394179,58.50816668110658
Jordan,31.1667049,36.941628,58.50816668110658
Kazakhstan,48.1012954,66.7780818,58.50816668110658
Kenya,1.4419683,38.4313975,58.50816668110658
Kuwait,29.2733964,47.4979476,58.50816668110658
Kyrgyzstan,41.5089324,74.724091,58.50816668110658
Laos,20.0171109,103.378253,58.50816668110658
Latvia,56.8406494,24.7537645,58.50816668110658
Lebanon,33.8750629,35.843409,58.50816668110658
Lesotho,-29.6039267,28.3350193,58.50816668110658
Liberia,5.7499721,-9.3658524,58.50816668110658
Libya,26.8234472,18.1236723,58.50816668110658
Liechtenstein,47.1416307,9.5531527,58.50816668110658
Lithuania,55.3500003,23.7499997,58.50816668110658
Luxembourg,49.8158683,6.1296751,58.50816668110658
Macao,22.1757605,113.5514142,58.50816668110658
Madagascar,-18.9249604,46.4416422,58.50816668110658
Malawi,-13.2687204,33.9301963,58.50816668110658
Malaysia,4.5693754,102.2656823,58.50816668110658
Maldives,3.7203503,73.2244152,58.50816668110658
Mali,16.3700359,-2.2900239,58.50816668110658
Malta,35.8885993,14.4476911,58.50816668110658
Mauritania,20.2540382,-9.2399263,58.50816668110658
Mauritius,-20.2759451,57.5703566,58.50816668110658
Mayotte,-12.823048,45.1520755,58.50816668110658
Mexico,23.6585116,-102.0077097,58.50816668110658
Moldova,47.2879608,28.5670941,58.50816668110658
Monaco,48.1371079,11.5753822,58.50816668110658
Mongolia,46.8250388,103.8499736,58.50816668110658
Montenegro,42.9868853,19.5180992,58.50816668110658
Morocco,31.1728205,-7.3362482,58.50816668110658
Mozambique,-19.302233,34.9144977,58.50816668110658
Myanmar,17.1750495,95.9999652,58.50816668110658
Namibia,-23.2335499,17.3231107,58.50816668110658
Nepal,28.1083929,84.0917139,58.50816668110658
Netherlands,52.2434979,5.6343227,58.50816668110658
Nicaragua,12.6090157,-85.2936911,58.50816668110658
Niger,17.7356214,9.3238432,58.50816668110658
Nigeria,9.6000359,7.9999721,58.50816668110658
North Korea,40.3736611,127.0870417,58.50816668110658
North Macedonia,41.6171214,21.7168387,58.50816668110658
Norway,61.1529386,8.7876653,58.50816668110658
Oman,21.0000287,57.0036901,58.50816668110658
Pakistan,30.3308401,71.247499,58.50816668110658
Panama,8.559559,-81.1308434,58.50816668110658
Paraguay,-23.3165935,-58.1693445,58.50816668110658
Peru,-6.8699697,-75.0458515,58.50816668110658
Philippines,12.7503486,122.7312101,58.50816668110658
Poland,52.215933,19.134422,58.50816668110658
Portugal,39.6621648,-8.1353519,58.50816668110658
Qatar,25.3336984,51.2295295,58.50816668110658
Réunion,-21.130737949999997,55.536480112992315,58.50816668110658
Romania,45.9852129,24.6859225,58.50816668110658
Russia,64.6863136,97.7453061,58.50816668110658
Rwanda,-1.9646631,30.0644358,58.50816668110658
Saint Helena,-37.2465,-12.4870384875,58.50816668110658
Saint Kitts and Nevis,17.250512,-62.6725973,58.50816668110658
Saint Lucia,13.8250489,-60.975036,58.50816668110658
Saint Vincent and the Grenadines,12.90447,-61.2765569,58.50816668110658
San Marino,43.9458623,12.458306,58.50816668110658
Sao Tome & Principe,-11.705617,-63.854835,58.50816668110658
Saudi Arabia,25.6242618,42.3528328,58.50816668110658
Senegal,14.4750607,-14.4529612,58.50816668110658
Serbia,44.1534121,20.55144,58.50816668110658
Seychelles,-4.6574977,55.4540146,58.50816668110658
Sierra Leone,8.6400349,-11.8400269,58.50816668110658
Singapore,1.357107,103.8194992,58.50816668110658
Slovakia,48.7411522,19.4528646,58.50816668110658
Slovenia,46.1199444,14.8153333,58.50816668110658
