verseID,verse-ar,verse-en,transliteration,Recommended use
2:127,رَبَّنَا تَقَبَّلۡ مِنَّآۖ إِنَّكَ أَنتَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,"“Our Lord, accept [this] from us. Indeed You are the Hearing, the Knowing.”",Rabbana taqabbal minnaa innaka Antas Samee’ul Aleem,You can recite this du’a whenever you would like for Allah (swt) to accept whatever good you’ve just done. Du’a Prophet Ibrahim (as) recited after building the kaaba with his son.
2:128,رَبَّنَا وَٱجۡعَلۡنَا مُسۡلِمَيۡنِ لَكَ وَمِن ذُرِّيَّتِنَآ أُمَّةٗ مُّسۡلِمَةٗ لَّكَ وَأَرِنَا مَنَاسِكَنَا وَتُبۡ عَلَيۡنَآۖ إِنَّكَ أَنتَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"“Our Lord, and make us Muslims [in submission] to You and from our descendants a Muslim nation [in submission] to You. And show us our rites [of worship] and accept our repentance. Indeed, You are the Accepting of Repentance, the Merciful.”",Rabbana waj’alnaa muslimaini laka wa min zurriyyatinaaa ummatam muslimatal laka wa arinaa manaasikanaa wa tub ‘alainaa innaka antat Tawwaabur Raheem,This du’a should be recited to affirm your faith in Islam. It also a good prayer that asks for the success of the entire Muslim Ummah. Du’a Prophet Ibrahim (as) recited after building the kaaba with his son.
2:201,رَبَّنَآ ءَاتِنَا فِي ٱلدُّنۡيَا حَسَنَةٗ وَفِي ٱلۡأٓخِرَةِ حَسَنَةٗ وَقِنَا عَذَابَ ٱلنَّارِ,"“Our Lord, give us in this world [that which is] good and in the Hereafter [that which is] good and protect us from the punishment of the Fire.”",Rabbana atina fid dunyaa hasanatanw wa fil aakhirati hasanatanw wa qinaa azaaban Naar,One of the best duas any believer can recite. It asks for good in this world while not forgetting to ask about good in the akhira (afterlife). “So remember Me; I will remember you. And be grateful to Me and do not deny Me.” (2:152)
2:250,رَبَّنَآ أَفۡرِغۡ عَلَيۡنَا صَبۡرٗا وَثَبِّتۡ أَقۡدَامَنَا وَٱنصُرۡنَا عَلَى ٱلۡقَوۡمِ ٱلۡكَٰفِرِينَ,"“Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people.”",Rabbana afrigh ‘alainaa sabranw wa sabbit aqdaamanaa wansurnaa ‘alal qawmil kaafireen,"Asking Allah (swt) for protection, patience in whatever endeavor, and to be victorious. Prophetic du’a for protection recited by Prophet dawud (as): Dawud (as) was a smaller, younger man and on paper it did not seem like he was favored to win a battle against Jalut (goliath). But we’re told, “and Allah granted him dominion and wisdom, and imparted to him the knowledge of whatever He willed.” (2:251)"
2:286,رَبَّنَا لَا تُؤَاخِذۡنَآ إِن نَّسِينَآ أَوۡ أَخۡطَأۡنَاۚ,"“Our Lord, do not impose blame upon us if we have forgotten or erred.”",Rabbana laa tu’aakhiznaaa in naseenaaa aw akhtaanaa,"This is a du’a for tawbah (repentance). Asking for the forgiveness of Allah (swt) is the best kind of du’a a believer can make. It shows humility in your character, protects you from boasting or growing prideful. Constant repentance is a characteristic that shows your complete reliance on Allah (swt) for all things."
2:286,رَبَّنَا وَلَا تَحۡمِلۡ عَلَيۡنَآ إِصۡرٗا كَمَا حَمَلۡتَهُۥ عَلَى ٱلَّذِينَ مِن قَبۡلِنَاۚ,"“Our Lord, and lay not upon us a burden like that which You laid upon those before us.”",Rabbana wa laa tahmil-‘alainaaa isran kamaa hamaltahoo ‘alal-lazeena min qablinaa,This is a du’a asking Allah (swt) to make the path of righteousness easy upon the believers. Asking Allah (swt) for our life’s tests to be ones that we are capable of enduring and overcoming. To not be tested more severely than our predecessors.
2:286,رَبَّنَا وَلَا تُحَمِّلۡنَا مَا لَا طَاقَةَ لَنَا بِهِۦۖ وَٱعۡفُ عَنَّا وَٱغۡفِرۡ لَنَا وَٱرۡحَمۡنَآۚ أَنتَ مَوۡلَىٰنَا فَٱنصُرۡنَا عَلَى ٱلۡقَوۡمِ ٱلۡكَٰفِرِينَ,"“Our Lord, and burden us not with that which we have no ability to bear. And pardon us; and forgive us; and have mercy upon us. You are our protector, so give us victory over the disbelieving people.”",Rabbana wa laa tuhammilnaa maa laa taaqata lanaa bih; wa’fu ‘annaa waghfir lanaa warhamnaa; Anta mawlaanaa fansurnaa ‘alal qawmil kaafireen,"The last ayat of Surah Baqarah alone contains 3 powerful duas which can be recited together or independently. These last 2 ayat are among the most memorized verses of the Qur’an. The Messenger of Allah ( صلى الله عليه وسلم) said: “If anyone recited two verses from the last of Surah Baqarah at night, they will be sufficient for him.”"
3:8,رَبَّنَا لَا تُزِغۡ قُلُوبَنَا بَعۡدَ إِذۡ هَدَيۡتَنَا وَهَبۡ لَنَا مِن لَّدُنكَ رَحۡمَةًۚ إِنَّكَ أَنتَ ٱلۡوَهَّابُ,"“Our Lord, let not our hearts deviate after You have guided us and grant us from Yourself mercy. Indeed, You are the Bestower.”",Rabbana laa tuzigh quloobanaa ba’da iz hadaitanaa wa hab lanaa mil ladunka rahmah; innaka antal Wahhaab,"Another beautiful du’a a believer can recite asking for Allah’s rahma (mercy). The believer understands that all things are made possible through Allah (swt). In this du’a, we ask of Allah to make us among those who are guided, to not let the environment or circumstance cause our hearts to swerve once we know the truth."
3:9,رَبَّنَآ إِنَّكَ جَامِعُ ٱلنَّاسِ لِيَوْمٍ لَّا رَيْبَ فِيهِ ۚ إِنَّ ٱللَّهَ لَا يُخْلِفُ ٱلْمِيعَادَ,"“Our Lord, surely You will gather the people for a Day about which there is no doubt. Indeed, Allah does not fail in His promise.”",Rabbanaaa innaka jaami ‘un-naasil Yawmil laa raibafeeh; innal laaha laa yukhliful mee’aad,"This is a du’a of the believers to affirm their faith in the afterlife. A place where we will either reap the rewards for our good deeds and our actions or pay the price of errors. “Indeed, Allah does not fail in his promise.”"
3:16,رَبَّنَآ إِنَّنَآ ءَامَنَّا فَٱغْفِرْ لَنَا ذُنُوبَنَا وَقِنَا عَذَابَ ٱلنَّارِ,"“Our Lord, indeed we have believed, so forgive us our sins and protect us from the punishment of the Fire”",Rabbanaaa innanaaa aamannaa faghfir lanaa zunoobanaa wa qinaa ‘azaaban Naar,"A du’a for repentance and protection. We ask Allah (swt) for forgiveness and to shield us from the punishment of the hellfire. “[Remember] when you were asking help of your Lord, and He answered you, ‘Indeed, I will reinforce you with a thousand from the angels, following one another.’” (8:9)"
